127.0.0.1 - - [19/Oct/2019:23:33:31 +0700] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/login.jsp HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/vendor/bootstrap/css/bootstrap.min.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/fonts/font-awesome-4.7.0/css/font-awesome.min.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/fonts/iconic/css/material-design-iconic-font.min.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/vendor/animate/animate.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/vendor/css-hamburgers/hamburgers.min.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/vendor/animsition/css/animsition.min.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/vendor/select2/select2.min.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/css/util.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:33:35 +0700] "GET /NhanKhauVN/views/login/vendor/daterangepicker/daterangepicker.css;jsessionid=228A2DB44F74160114D5CCFB06C72F7F HTTP/1.1" 200 8163
